Id,area,lat,lon,start_date,end_date
US_2021_MT4714310953420211004,12727,47.182,-109.524,2021-10-02,2021-10-26
US_2021_ID4558511544420210705,45254,45.536,-115.385,2021-07-04,2021-08-29
US_2021_ID4663811466720210707,5450,46.646,-114.639,2021-07-09,2021-08-01
US_2021_MT4568311385420210708,62432,45.624,-113.766,2021-07-06,2021-09-19
US_2021_ID4453211532920210810,97995,44.597,-115.182,2021-08-06,2021-10-04
US_2021_ID4762711608320210708,12750,47.627,-115.966,2021-07-08,2021-09-05
US_2021_WA4879111827120210805,8049,48.783,-118.28,2021-08-07,2021-09-02
US_2021_WA4828511853120210713,54855,48.372,-118.432,2021-07-13,2021-09-18
US_2021_WA4856812048820210708,58591,48.505,-120.43,2021-07-10,2021-08-17
US_2021_WA4877811903420210803,26165,48.787,-119.077,2021-07-10,2021-08-29
US_2021_MT4579011310120210708,38189,45.8,-113.151,2021-07-09,2021-10-05
US_2021_NV3700011641620210517,25489,37.076,-116.407,2021-05-14,2021-05-27
US_2021_CA3568711855020210818,27331,35.696,-118.567,2021-08-19,2021-09-10
US_2021_CA3604711863120210910,97831,35.972,-118.606,2021-09-10,2021-10-06
US_2021_CA3627811855020210815,9011,36.307,-118.546,2021-08-14,2021-09-02
US_2021_CA3658211879520210912,89960,36.578,-118.802,2021-09-09,2021-10-30
US_2021_CA4086312235520210630,12593,40.908,-122.364,2021-06-29,2021-07-09
US_2021_NM3344410803520210514,12941,33.459,-108.069,2021-05-15,2021-06-07
US_2021_CA3451712013120211011,17677,34.493,-120.111,2021-10-05,2021-10-17
US_2021_AZ3368910927620210616,12525,33.685,-109.312,2021-06-16,2021-07-08
US_2021_AZ3345510938920210616,24459,33.48,-109.377,2021-06-16,2021-07-06
US_2021_NM3323810847220210520,95808,33.191,-108.474,2021-05-17,2021-06-24
US_2021_NM3340210587120210426,6361,33.421,-105.832,2021-04-23,2021-05-03
US_2021_NM3676810505920211120,5781,36.768,-105.055,2021-11-19,2021-12-18
US_2021_FL2521008104520210308,8143,25.222,-81.054,2021-02-28,2021-03-14
